"id_log";"usuario";"data"
"616";"3";"2018-08-30 17:08:00"
"617";"3";"2018-08-30 17:08:00"
"618";"4";"2018-08-30 18:08:00"
"619";"3";"2018-08-31 12:08:00"
"620";"3";"2018-08-31 12:08:00"
"621";"3";"2018-08-31 12:08:00"
"622";"3";"2018-08-31 12:08:00"
"623";"3";"2018-08-31 12:08:00"
"624";"3";"2018-08-31 12:08:00"
"625";"3";"2018-08-31 12:08:00"
"626";"3";"2018-08-31 12:08:00"
"627";"3";"2018-08-31 12:08:00"
"628";"3";"2018-08-31 12:08:00"
"629";"3";"2018-08-31 12:08:00"
"630";"3";"2018-08-31 12:08:00"
"631";"3";"2018-08-31 12:08:00"
"632";"3";"2018-08-31 12:08:00"
"633";"3";"2018-08-31 12:08:00"
"634";"3";"2018-08-31 12:08:00"
"635";"3";"2018-08-31 12:08:00"
"636";"3";"2018-08-31 12:08:00"
"637";"3";"2018-08-31 12:08:00"
"638";"3";"2018-08-31 12:08:00"
"639";"3";"2018-08-31 12:08:00"
"640";"3";"2018-08-31 12:08:00"
"641";"3";"2018-08-31 12:08:00"
"642";"3";"2018-08-31 12:08:00"
"643";"3";"2018-08-31 12:08:00"
"644";"3";"2018-08-31 12:08:00"
"645";"3";"2018-08-31 12:08:00"
"646";"3";"2018-08-31 13:08:00"
"647";"3";"2018-08-31 13:08:00"
"648";"3";"2018-08-31 13:08:00"
"649";"3";"2018-08-31 13:08:00"
"650";"3";"2018-08-31 13:08:00"
"651";"3";"2018-08-31 13:08:00"
"652";"3";"2018-08-31 13:08:00"
"653";"3";"2018-08-31 13:08:00"
"654";"3";"2018-08-31 13:08:00"
"655";"3";"2018-08-31 13:08:00"
"656";"3";"2018-08-31 13:08:00"
"657";"3";"2018-08-31 13:08:00"
"658";"3";"2018-08-31 13:08:00"
"659";"3";"2018-08-31 13:08:00"
"660";"3";"2018-08-31 13:08:00"
"661";"3";"2018-08-31 13:08:00"
"662";"4";"2018-08-31 16:08:00"
